Ligue 1
Sezon,Tarih,Ev Sahibi,Skor,Deplasman
2023-2024,01.03.2024,Monaco       0,-,0     PSG
2023-2024,02.03.2024,Reims       0,-,1     Lille
2023-2024,03.03.2024,Toulouse       2,-,1     Nice
2023-2024,08.03.2024,Nice       1,-,2     Montpellier
2023-2024,09.03.2024,Lorient       0,-,2     Lyon
2023-2024,10.03.2024,PSG       2,-,2     Reims
2023-2024,15.03.2024,Toulouse       2,-,3     Lyon
2023-2024,16.03.2024,Nantes       1,-,3     Strasbourg
2023-2024,17.03.2024,Brest       1,-,1     Lille
2023-2024,29.03.2024,Lille       2,-,1     Lens
2023-2024,30.03.2024,Metz       2,-,5     Monaco
2023-2024,31.03.2024,Lorient       0,-,1     Brest
2023-2024,05.04.2024,Lille       3,-,1     Marsilya
2023-2024,06.04.2024,Lens       1,-,1     Le Havre
2023-2024,07.04.2024,Brest       4,-,3     Metz
2023-2024,12.04.2024,Metz       2,-,1     Lens
2023-2024,13.04.2024,Strasbourg       3,-,1     Reims
2023-2024,14.04.2024,Le Havre       0,-,1     Nantes
2023-2024,19.04.2024,Nice       3,-,0     Lorient
2023-2024,20.04.2024,Nantes       0,-,3     Rennes
2023-2024,21.04.2024,Lille       1,-,0     Strasbourg
2023-2024,24.04.2024,Lorient       1,-,4     PSG
2023-2024,26.04.2024,Montpellier       1,-,1     Nantes
2023-2024,27.04.2024,PSG       3,-,3     Le Havre
2023-2024,28.04.2024,Metz       1,-,2     Lille
2023-2024,03.05.2024,Toulouse       1,-,2     Montpellier
2023-2024,04.05.2024,Le Havre       3,-,1     Strasbourg
2023-2024,06.05.2024,Lille       3,-,4     Lyon
2023-2024,10.05.2024,Nice       1,-,0     Le Havre
2023-2024,12.05.2024,PSG       1,-,3     Toulouse
2023-2024,15.05.2024,Nice       1,-,2     PSG
2023-2024,19.05.2024,Toulouse       0,-,3     Brest
2023-2024,30.05.2024,St Etienne       2,-,1     Metz
2023-2024,02.06.2024,Metz       2,-,2     St Etienne
