Sezon,Tarih,Ev Sahibi,Skor,Deplasman
2002-2003,14.08.2002,1860 München       0,2     H. Rostock
2002-2003,17.08.2002,Bayern Münih       6,2     A. Bielefeld
2002-2003,18.08.2002,Werder Bremen       2,1     Hamburg
2002-2003,24.08.2002,B. Leverkusen       2,4     Bochum
2002-2003,25.08.2002,Schalke 04       0,0     Hertha Berlin
2002-2003,10.09.2002,Werder Bremen       4,1     Nürnberg
2002-2003,11.09.2002,Stuttgart       1,1     Schalke 04
2002-2003,14.09.2002,B. Leverkusen       1,3     Hannover 96
2002-2003,15.09.2002,Bochum       0,1     H. Rostock
2002-2003,21.09.2002,Werder Bremen       3,2     B. Leverkusen
2002-2003,22.09.2002,Stuttgart       3,0     A. Bielefeld
2002-2003,28.09.2002,B. Leverkusen       2,1     Bayern Münih
2002-2003,29.09.2002,Bochum       1,4     Werder Bremen
2002-2003,05.10.2002,Bayern Münih       4,1     Bochum
2002-2003,06.10.2002,Werder Bremen       0,0     H. Rostock
2002-2003,19.10.2002,B. Leverkusen       1,0     Kaiserslautern
2002-2003,20.10.2002,Bochum       4,2     Wolfsburg
2002-2003,27.10.2002,Werder Bremen       1,4     B. Dortmund
2002-2003,02.11.2002,B. Leverkusen       0,1     Stuttgart
2002-2003,03.11.2002,Werder Bremen       2,0     Bayern Münih
2002-2003,09.11.2002,Bayern Münih       2,1     B. Dortmund
2002-2003,10.11.2002,M'gladbach       3,0     E. Cottbus
2002-2003,13.11.2002,Kaiserslautern       0,2     Bochum
2002-2003,16.11.2002,Bayern Münih       1,0     Wolfsburg
2002-2003,17.11.2002,Werder Bremen       5,3     Kaiserslautern
2002-2003,23.11.2002,Stuttgart       3,0     Hannover 96
2002-2003,24.11.2002,Hamburg       1,1     E. Cottbus
2002-2003,30.11.2002,Bayern Münih       2,0     Hertha Berlin
2002-2003,01.12.2002,Werder Bremen       3,1     Stuttgart
2002-2003,07.12.2002,Stuttgart       0,3     Bayern Münih
2002-2003,08.12.2002,Hamburg       1,1     Bochum
2002-2003,14.12.2002,Werder Bremen       2,0     M'gladbach
2002-2003,15.12.2002,Wolfsburg       1,2     Stuttgart
2002-2003,25.01.2003,Werder Bremen       2,2     A. Bielefeld
2002-2003,26.01.2003,Bayern Münih       3,0     M'gladbach
2002-2003,01.02.2003,Stuttgart       3,1     Hertha Berlin
2002-2003,02.02.2003,B. Dortmund       2,0     B. Leverkusen
2002-2003,08.02.2003,Werder Bremen       1,2     1860 München
2002-2003,09.02.2003,Bayern Münih       1,1     Hamburg
2002-2003,15.02.2003,B. Leverkusen       1,2     H. Rostock
2002-2003,16.02.2003,M'gladbach       0,2     Hertha Berlin
2002-2003,19.02.2003,M'gladbach       2,0     Wolfsburg
2002-2003,22.02.2003,Werder Bremen       0,1     E. Cottbus
2002-2003,23.02.2003,Stuttgart       4,0     M'gladbach
2002-2003,01.03.2003,B. Leverkusen       3,0     Werder Bremen
2002-2003,02.03.2003,Hamburg       1,0     Hertha Berlin
2002-2003,08.03.2003,Werder Bremen       2,0     Bochum
2002-2003,09.03.2003,Hannover 96       3,1     H. Rostock
2002-2003,15.03.2003,B. Leverkusen       1,1     Wolfsburg
2002-2003,16.03.2003,Nürnberg       0,3     Hertha Berlin
2002-2003,22.03.2003,Werder Bremen       1,2     Hannover 96
2002-2003,23.03.2003,Stuttgart       0,2     Nürnberg
2002-2003,05.04.2003,B. Leverkusen       4,1     Hertha Berlin
2002-2003,06.04.2003,H. Rostock       1,0     Wolfsburg
2002-2003,12.04.2003,Bayern Münih       0,1     Werder Bremen
2002-2003,13.04.2003,Schalke 04       3,0     E. Cottbus
2002-2003,19.04.2003,Werder Bremen       0,1     Wolfsburg
2002-2003,20.04.2003,B. Leverkusen       1,3     Schalke 04
2002-2003,26.04.2003,Stuttgart       1,1     H. Rostock
2002-2003,27.04.2003,Kaiserslautern       1,0     Werder Bremen
2002-2003,03.05.2003,Werder Bremen       4,2     Hertha Berlin
2002-2003,04.05.2003,B. Leverkusen       3,1     A. Bielefeld
2002-2003,10.05.2003,Stuttgart       0,1     Werder Bremen
2002-2003,11.05.2003,Schalke 04       0,2     Hannover 96
2002-2003,17.05.2003,Werder Bremen       2,1     Schalke 04
2002-2003,24.05.2003,Stuttgart       2,0     Wolfsburg
2003-2004,01.08.2003,Bayern Münih       3,1     E. Frankfurt
2003-2004,02.08.2003,B. Leverkusen       4,1     Freiburg
2003-2004,03.08.2003,H. Rostock       0,2     Stuttgart
2003-2004,09.08.2003,Werder Bremen       1,1     M'gladbach
2003-2004,10.08.2003,Stuttgart       0,0     Hertha Berlin
2003-2004,16.08.2003,Bayern Münih       2,0     Bochum
2003-2004,17.08.2003,Schalke 04       2,1     Köln
2003-2004,23.08.2003,Werder Bremen       4,1     Schalke 04
2003-2004,24.08.2003,Hamburg       0,2     Bayern Münih
2003-2004,27.08.2003,Hannover 96       3,3     H. Rostock
2003-2004,13.09.2003,B. Leverkusen       1,0     Hamburg
2003-2004,14.09.2003,M'gladbach       0,2     E. Frankfurt
2003-2004,20.09.2003,Werder Bremen       2,1     1860 München
2003-2004,21.09.2003,Hamburg       2,1     H. Rostock
2003-2004,27.09.2003,B. Dortmund       1,0     Freiburg
2003-2004,28.09.2003,Schalke 04       1,1     E. Frankfurt
2003-2004,04.10.2003,Bayern Münih       4,1     Hertha Berlin
2003-2004,05.10.2003,Werder Bremen       5,3     Wolfsburg
2003-2004,18.10.2003,Werder Bremen       1,3     Stuttgart
2003-2004,19.10.2003,Schalke 04       0,2     Bochum
2003-2004,25.10.2003,Bayern Münih       4,1     Kaiserslautern
2003-2004,26.10.2003,B. Leverkusen       1,0     M'gladbach
2003-2004,01.11.2003,Werder Bremen       3,1     E. Frankfurt
2003-2004,02.11.2003,B. Dortmund       3,2     Hamburg
2003-2004,08.11.2003,Bochum       4,0     Köln
2003-2004,09.11.2003,Bayern Münih       4,1     B. Dortmund
2003-2004,22.11.2003,Werder Bremen       3,1     Bochum
2003-2004,23.11.2003,Freiburg       1,0     E. Frankfurt
2003-2004,29.11.2003,Bayern Münih       2,2     Köln
2003-2004,30.11.2003,H. Rostock       2,1     B. Dortmund
2003-2004,06.12.2003,Werder Bremen       1,1     Bayern Münih
2003-2004,07.12.2003,Schalke 04       2,1     M'gladbach
2003-2004,13.12.2003,Bayern Münih       1,0     Stuttgart
2003-2004,14.12.2003,Wolfsburg       2,1     Hannover 96
2003-2004,16.12.2003,Werder Bremen       3,0     H. Rostock
2003-2004,17.12.2003,Stuttgart       2,3     B. Leverkusen
2003-2004,30.01.2004,B. Dortmund       0,1     Schalke 04
2003-2004,31.01.2004,Werder Bremen       4,0     Hertha Berlin
2003-2004,01.02.2004,Freiburg       1,0     B. Leverkusen
2003-2004,07.02.2004,B. Leverkusen       1,2     E. Frankfurt
2003-2004,08.02.2004,Bayern Münih       3,1     Hannover 96
2003-2004,14.02.2004,Stuttgart       1,1     M'gladbach
2003-2004,15.02.2004,Werder Bremen       1,0     Kaiserslautern
2003-2004,21.02.2004,Bayern Münih       1,0     Hamburg
2003-2004,22.02.2004,B. Dortmund       1,0     Köln
2003-2004,28.02.2004,Werder Bremen       2,0     B. Dortmund
2003-2004,29.02.2004,Freiburg       1,0     Kaiserslautern
2003-2004,06.03.2004,B. Leverkusen       1,3     Bayern Münih
2003-2004,07.03.2004,Wolfsburg       2,0     Köln
2003-2004,13.03.2004,Werder Bremen       3,2     Köln
2003-2004,14.03.2004,Stuttgart       2,0     1860 München
2003-2004,20.03.2004,B. Dortmund       2,0     E. Frankfurt
2003-2004,21.03.2004,Wolfsburg       0,2     Werder Bremen
2003-2004,27.03.2004,Bayern Münih       5,2     M'gladbach
2003-2004,28.03.2004,Stuttgart       4,4     Werder Bremen
2003-2004,03.04.2004,Schalke 04       4,1     Hamburg
2003-2004,04.04.2004,Werder Bremen       1,1     Freiburg
2003-2004,10.04.2004,Bayern Münih       2,1     Schalke 04
2003-2004,11.04.2004,Freiburg       0,1     Stuttgart
2003-2004,17.04.2004,Stuttgart       3,1     E. Frankfurt
2003-2004,18.04.2004,Werder Bremen       0,0     Hannover 96
2003-2004,24.04.2004,B. Leverkusen       3,0     B. Dortmund
2003-2004,25.04.2004,Bayern Münih       1,0     1860 München
2003-2004,01.05.2004,Werder Bremen       6,0     Hamburg
2003-2004,02.05.2004,Stuttgart       1,1     Bochum
2003-2004,08.05.2004,Bayern Münih       1,3     Werder Bremen
2003-2004,09.05.2004,Bochum       3,0     Freiburg
2003-2004,15.05.2004,Werder Bremen       2,6     B. Leverkusen
2003-2004,22.05.2004,Bayern Münih       2,0     Freiburg
2004-2005,06.08.2004,Werder Bremen       1,0     Schalke 04
2004-2005,07.08.2004,Kaiserslautern       1,3     Nürnberg
2004-2005,08.08.2004,A. Bielefeld       0,0     M'gladbach
2004-2005,14.08.2004,Mainz       2,1     Hamburg
2004-2005,15.08.2004,Bochum       2,2     B. Leverkusen
2004-2005,28.08.2004,Kaiserslautern       2,3     Stuttgart
2004-2005,29.08.2004,B. Dortmund       1,1     Hannover 96
2004-2005,11.09.2004,Mainz       2,0     B. Leverkusen
2004-2005,12.09.2004,H. Rostock       2,3     Kaiserslautern
2004-2005,18.09.2004,Kaiserslautern       2,1     Hamburg
2004-2005,19.09.2004,Freiburg       1,1     Bochum
2004-2005,25.09.2004,Bayern Münih       3,1     Freiburg
2004-2005,26.09.2004,Mainz       1,1     B. Dortmund
2004-2005,28.09.2004,Hannover 96       0,1     A. Bielefeld
2004-2005,02.10.2004,Kaiserslautern       0,2     Hertha Berlin
2004-2005,03.10.2004,A. Bielefeld       0,2     Stuttgart
2004-2005,16.10.2004,Mainz       2,1     Werder Bremen
2004-2005,17.10.2004,Hannover 96       3,0     Wolfsburg
2004-2005,23.10.2004,Kaiserslautern       0,0     B. Leverkusen
2004-2005,24.10.2004,Freiburg       2,0     Stuttgart
2004-2005,26.10.2004,Bayern Münih       2,0     Wolfsburg
2004-2005,27.10.2004,Mainz       3,1     H. Rostock
2004-2005,30.10.2004,B. Dortmund       1,0     B. Leverkusen
2004-2005,31.10.2004,Kaiserslautern       2,1     A. Bielefeld
2004-2005,06.11.2004,Mainz       1,1     M'gladbach
2004-2005,07.11.2004,Hamburg       1,2     Schalke 04
2004-2005,13.11.2004,Kaiserslautern       1,0     B. Dortmund
2004-2005,14.11.2004,Bochum       1,3     Bayern Münih
2004-2005,20.11.2004,Mainz       1,0     Bochum
2004-2005,21.11.2004,Hamburg       3,1     Wolfsburg
2004-2005,27.11.2004,Kaiserslautern       3,0     Freiburg
2004-2005,28.11.2004,Hannover 96       0,0     Stuttgart
2004-2005,04.12.2004,Freiburg       0,6     Werder Bremen
2004-2005,05.12.2004,Kaiserslautern       2,0     Mainz
2004-2005,11.12.2004,Mainz       0,1     Nürnberg
2004-2005,12.12.2004,M'gladbach       1,1     B. Leverkusen
2004-2005,21.01.2005,Bayern Münih       3,0     Hamburg
2004-2005,22.01.2005,Nürnberg       1,3     Kaiserslautern
2004-2005,23.01.2005,Hannover 96       0,3     B. Leverkusen
2004-2005,29.01.2005,Hamburg       2,1     Mainz
2004-2005,30.01.2005,Hertha Berlin       0,0     Bayern Münih
2004-2005,05.02.2005,Stuttgart       1,1     Kaiserslautern
2004-2005,06.02.2005,M'gladbach       3,2     Freiburg
2004-2005,12.02.2005,B. Dortmund       1,0     Bochum
2004-2005,13.02.2005,B. Leverkusen       2,0     Mainz
2004-2005,19.02.2005,Hamburg       2,1     Kaiserslautern
2004-2005,20.02.2005,Stuttgart       1,0     Hertha Berlin
2004-2005,26.02.2005,B. Dortmund       3,0     Mainz
2004-2005,27.02.2005,Schalke 04       1,0     Hannover 96
2004-2005,05.03.2005,Mainz       5,0     Freiburg
2004-2005,06.03.2005,Hertha Berlin       1,1     Kaiserslautern
2004-2005,12.03.2005,Werder Bremen       0,0     Mainz
2004-2005,13.03.2005,Schalke 04       1,0     Bayern Münih
2004-2005,19.03.2005,B. Leverkusen       2,0     Kaiserslautern
2004-2005,20.03.2005,Stuttgart       1,0     Freiburg
2004-2005,02.04.2005,H. Rostock       2,0     Mainz
2004-2005,03.04.2005,M'gladbach       2,2     Bochum
2004-2005,09.04.2005,B. Leverkusen       0,1     B. Dortmund
2004-2005,10.04.2005,A. Bielefeld       0,2     Kaiserslautern
2004-2005,16.04.2005,M'gladbach       1,1     Mainz
2004-2005,17.04.2005,Kaiserslautern       1,2     Bochum
2004-2005,23.04.2005,B. Dortmund       4,2     Kaiserslautern
2004-2005,24.04.2005,Nürnberg       0,0     M'gladbach
2004-2005,30.04.2005,Bochum       2,6     Mainz
2004-2005,01.05.2005,Wolfsburg       1,0     Hamburg
2004-2005,07.05.2005,Freiburg       1,2     Kaiserslautern
2004-2005,08.05.2005,Hamburg       0,0     M'gladbach
2004-2005,14.05.2005,Mainz       3,2     Kaiserslautern
2004-2005,21.05.2005,Nürnberg       1,2     Mainz
2005-2006,05.08.2005,Bayern Münih       3,0     M'gladbach
2005-2006,06.08.2005,Hamburg       3,0     Nürnberg
2005-2006,07.08.2005,Schalke 04       2,1     Kaiserslautern
2005-2006,13.08.2005,Hertha Berlin       2,0     E. Frankfurt
2005-2006,14.08.2005,Stuttgart       2,3     Köln
2005-2006,27.08.2005,Hamburg       1,1     Hannover 96
2005-2006,28.08.2005,Duisburg       1,1     B. Dortmund
2005-2006,10.09.2005,B. Leverkusen       1,1     Schalke 04
2005-2006,11.09.2005,Hertha Berlin       3,0     Wolfsburg
2005-2006,17.09.2005,Hamburg       1,1     E. Frankfurt
2005-2006,18.09.2005,Duisburg       1,3     B. Leverkusen
2005-2006,20.09.2005,M'gladbach       2,1     Werder Bremen
2005-2006,21.09.2005,Hertha Berlin       3,2     Duisburg
2005-2006,24.09.2005,Hamburg       2,0     Bayern Münih
2005-2006,25.09.2005,Köln       0,1     Hertha Berlin
2005-2006,01.10.2005,Hertha Berlin       1,2     Werder Bremen
2005-2006,02.10.2005,B. Dortmund       0,0     Stuttgart
2005-2006,15.10.2005,Hamburg       0,1     Wolfsburg
2005-2006,16.10.2005,Köln       1,4     Hannover 96
2005-2006,22.10.2005,Hertha Berlin       3,1     Mainz
2005-2006,23.10.2005,B. Leverkusen       1,1     Stuttgart
2005-2006,29.10.2005,Hamburg       1,0     Schalke 04
2005-2006,30.10.2005,Mainz       4,1     Nürnberg
2005-2006,05.11.2005,Hertha Berlin       3,0     Kaiserslautern
2005-2006,06.11.2005,M'gladbach       0,0     Hamburg
2005-2006,19.11.2005,Köln       2,2     Schalke 04
2005-2006,20.11.2005,Hamburg       2,0     Duisburg
2005-2006,26.11.2005,B. Leverkusen       0,1     Hamburg
2005-2006,27.11.2005,Hertha Berlin       2,2     M'gladbach
2005-2006,03.12.2005,Hamburg       3,1     Köln
2005-2006,04.12.2005,B. Leverkusen       1,2     Hertha Berlin
2005-2006,06.12.2005,Duisburg       1,1     Köln
2005-2006,10.12.2005,Hamburg       2,1     Hertha Berlin
2005-2006,11.12.2005,Köln       1,4     Werder Bremen
2005-2006,14.12.2005,Kaiserslautern       1,2     E. Frankfurt
2005-2006,17.12.2005,B. Leverkusen       0,0     Hannover 96
2005-2006,18.12.2005,Hertha Berlin       1,1     Nürnberg
2005-2006,27.01.2006,M'gladbach       1,3     Bayern Münih
2005-2006,28.01.2006,Nürnberg       2,1     Hamburg
2005-2006,29.01.2006,Kaiserslautern       0,2     Schalke 04
2005-2006,04.02.2006,E. Frankfurt       1,1     Hertha Berlin
2005-2006,05.02.2006,Wolfsburg       2,0     M'gladbach
2005-2006,07.02.2006,Kaiserslautern       2,2     Köln
2005-2006,08.02.2006,Hannover 96       2,1     Hamburg
2005-2006,11.02.2006,Wolfsburg       1,1     Hertha Berlin
2005-2006,12.02.2006,Köln       0,0     B. Dortmund
2005-2006,18.02.2006,M'gladbach       2,0     Köln
2005-2006,19.02.2006,E. Frankfurt       1,2     Hamburg
2005-2006,25.02.2006,Köln       0,3     B. Leverkusen
2005-2006,26.02.2006,Duisburg       2,1     Hertha Berlin
2005-2006,04.03.2006,Bayern Münih       1,2     Hamburg
2005-2006,05.03.2006,E. Frankfurt       1,1     Wolfsburg
2005-2006,07.03.2006,Kaiserslautern       1,1     Stuttgart
2005-2006,11.03.2006,Werder Bremen       0,3     Hertha Berlin
2005-2006,12.03.2006,Hamburg       3,0     Kaiserslautern
2005-2006,18.03.2006,Wolfsburg       0,1     Hamburg
2005-2006,19.03.2006,Bayern Münih       3,0     Schalke 04
2005-2006,25.03.2006,Mainz       2,2     Hertha Berlin
2005-2006,26.03.2006,Kaiserslautern       3,0     M'gladbach
2005-2006,01.04.2006,Bayern Münih       2,2     Köln
