La Liga
Sezon,Tarih,Ev Sahibi,Skor,Deplasman
2019-2020,19.10.2019,Eibar       0,-,3     Barcelona
2019-2020,20.10.2019,Alaves       2,-,0     Celta Vigo
2019-2020,25.10.2019,Villarreal       4,-,1     Alaves
2019-2020,26.10.2019,Leganes       1,-,0     Mallorca
2019-2020,27.10.2019,Celta Vigo       0,-,1     R. Sociedad
2019-2020,29.10.2019,Alaves       1,-,1     Atl. Madrid
2019-2020,30.10.2019,R. Sociedad       1,-,2     Levante
2019-2020,31.10.2019,Eibar       2,-,1     Villarreal
2019-2020,02.11.2019,Espanyol       1,-,2     Valencia
2019-2020,03.11.2019,R. Valladolid       3,-,0     Mallorca
2019-2020,08.11.2019,R. Sociedad       1,-,1     Leganes
2019-2020,09.11.2019,Alaves       3,-,0     R. Valladolid
2019-2020,10.11.2019,Mallorca       3,-,1     Villarreal
2019-2020,22.11.2019,Levante       2,-,1     Mallorca
2019-2020,23.11.2019,Leganes       1,-,2     Barcelona
2019-2020,24.11.2019,Espanyol       1,-,1     Getafe
2019-2020,29.11.2019,Celta Vigo       0,-,0     R. Valladolid
2019-2020,30.11.2019,Alaves       1,-,2     Real Madrid
2019-2020,01.12.2019,Sevilla       1,-,0     Leganes
2019-2020,06.12.2019,Villarreal       0,-,0     Atl. Madrid
2019-2020,07.12.2019,Real Madrid       2,-,0     Espanyol
2019-2020,08.12.2019,Eibar       0,-,1     Getafe
2019-2020,13.12.2019,Alaves       1,-,1     Leganes
2019-2020,14.12.2019,Granada       1,-,2     Levante
2019-2020,15.12.2019,Getafe       2,-,0     R. Valladolid
2019-2020,18.12.2019,Barcelona       0,-,0     Real Madrid
2019-2020,20.12.2019,Eibar       3,-,0     Granada
2019-2020,21.12.2019,Mallorca       0,-,2     Sevilla
2019-2020,22.12.2019,Leganes       2,-,0     Espanyol
2019-2020,03.01.2020,R. Valladolid       2,-,2     Leganes
2019-2020,04.01.2020,Valencia       1,-,0     Eibar
2019-2020,05.01.2020,Granada       1,-,0     Mallorca
2019-2020,17.01.2020,Leganes       0,-,3     Getafe
2019-2020,18.01.2020,Levante       0,-,1     Alaves
2019-2020,19.01.2020,Mallorca       4,-,1     Valencia
2019-2020,24.01.2020,Osasuna       2,-,0     Levante
2019-2020,25.01.2020,Espanyol       1,-,1     Ath. Bilbao
2019-2020,26.01.2020,Atl. Madrid       0,-,0     Leganes
2019-2020,01.02.2020,Granada       2,-,1     Espanyol
2019-2020,02.02.2020,Leganes       2,-,1     R. Sociedad
2019-2020,07.02.2020,Alaves       2,-,1     Eibar
2019-2020,08.02.2020,Levante       2,-,0     Leganes
2019-2020,09.02.2020,Espanyol       1,-,0     Mallorca
2019-2020,14.02.2020,Valencia       2,-,2     Atl. Madrid
2019-2020,15.02.2020,Mallorca       1,-,0     Alaves
2019-2020,16.02.2020,Sevilla       2,-,2     Espanyol
2019-2020,21.02.2020,Real Betis       3,-,3     Mallorca
2019-2020,22.02.2020,Celta Vigo       1,-,0     Leganes
2019-2020,23.02.2020,Osasuna       0,-,3     Granada
2019-2020,28.02.2020,R. Sociedad       1,-,0     R. Valladolid
2019-2020,29.02.2020,Eibar       3,-,0     Levante
2019-2020,01.03.2020,Sevilla       3,-,2     Osasuna
2019-2020,06.03.2020,Alaves       1,-,1     Valencia
2019-2020,07.03.2020,Eibar       1,-,2     Mallorca
2019-2020,08.03.2020,Osasuna       1,-,0     Espanyol
2019-2020,10.03.2020,Eibar       1,-,2     R. Sociedad
2019-2020,11.06.2020,Sevilla       2,-,0     Real Betis
2019-2020,12.06.2020,Granada       2,-,1     Getafe
2019-2020,13.06.2020,Espanyol       2,-,0     Alaves
2019-2020,14.06.2020,Ath. Bilbao       1,-,1     Atl. Madrid
2019-2020,15.06.2020,Levante       1,-,1     Sevilla
2019-2020,16.06.2020,Getafe       0,-,0     Espanyol
2019-2020,17.06.2020,Eibar       2,-,2     Ath. Bilbao
2019-2020,18.06.2020,Alaves       2,-,0     R. Sociedad
2019-2020,19.06.2020,Granada       0,-,1     Villarreal
2019-2020,20.06.2020,Espanyol       1,-,3     Levante
2019-2020,21.06.2020,Celta Vigo       6,-,0     Alaves
2019-2020,22.06.2020,Villarreal       2,-,2     Sevilla
2019-2020,23.06.2020,Levante       0,-,1     Atl. Madrid
2019-2020,24.06.2020,Alaves       0,-,1     Osasuna
2019-2020,25.06.2020,Eibar       1,-,0     Valencia
2019-2020,26.06.2020,Sevilla       1,-,1     R. Valladolid
2019-2020,27.06.2020,Ath. Bilbao       3,-,1     Mallorca
2019-2020,28.06.2020,Levante       4,-,2     Real Betis
2019-2020,29.06.2020,Getafe       2,-,1     R. Sociedad
2019-2020,30.06.2020,Mallorca       5,-,1     Celta Vigo
2019-2020,01.07.2020,Alaves       0,-,2     Granada
2019-2020,02.07.2020,Eibar       0,-,2     Osasuna
2019-2020,03.07.2020,Atl. Madrid       3,-,0     Mallorca
2019-2020,04.07.2020,Celta Vigo       1,-,1     Real Betis
2019-2020,05.07.2020,Ath. Bilbao       0,-,1     Real Madrid
2019-2020,06.07.2020,Levante       1,-,1     R. Sociedad
2019-2020,07.07.2020,Valencia       2,-,1     R. Valladolid
2019-2020,08.07.2020,Real Betis       3,-,0     Osasuna
2019-2020,09.07.2020,Eibar       0,-,0     Leganes
2019-2020,10.07.2020,R. Sociedad       2,-,3     Granada
2019-2020,11.07.2020,Osasuna       2,-,1     Celta Vigo
2019-2020,12.07.2020,Espanyol       0,-,2     Eibar
2019-2020,13.07.2020,Alaves       0,-,0     Getafe
2019-2020,16.07.2020,Eibar       3,-,1     R. Valladolid
2019-2020,19.07.2020,Alaves       0,-,5     Barcelona
2020-2021,12.09.2020,Eibar       0,-,0     Celta Vigo
2020-2021,13.09.2020,Alaves       0,-,1     Real Betis
2020-2021,19.09.2020,Villarreal       2,-,1     Eibar
2020-2021,20.09.2020,Huesca       0,-,2     Cadiz
2020-2021,26.09.2020,Alaves       0,-,0     Getafe
2020-2021,27.09.2020,Osasuna       1,-,3     Levante
2020-2021,29.09.2020,R. Sociedad       0,-,1     Valencia
2020-2021,30.09.2020,Huesca       0,-,0     Atl. Madrid
2020-2021,01.10.2020,Ath. Bilbao       0,-,1     Cadiz
2020-2021,03.10.2020,R. Valladolid       1,-,2     Eibar
2020-2021,04.10.2020,Osasuna       2,-,0     Celta Vigo
2020-2021,17.10.2020,Granada       1,-,0     Sevilla
2020-2021,18.10.2020,Eibar       0,-,0     Osasuna
2020-2021,23.10.2020,Elche       2,-,1     Valencia
2020-2021,24.10.2020,Barcelona       1,-,3     Real Madrid
2020-2021,25.10.2020,R. Valladolid       0,-,2     Alaves
2020-2021,26.10.2020,Levante       1,-,1     Celta Vigo
2020-2021,30.10.2020,Eibar       0,-,2     Cadiz
2020-2021,31.10.2020,Real Madrid       4,-,1     Huesca
2020-2021,01.11.2020,Real Betis       3,-,1     Elche
2020-2021,02.11.2020,Villarreal       2,-,0     R. Valladolid
2020-2021,06.11.2020,Elche       1,-,1     Celta Vigo
2020-2021,07.11.2020,Huesca       1,-,1     Eibar
2020-2021,08.11.2020,Getafe       1,-,3     Villarreal
2020-2021,20.11.2020,Osasuna       1,-,1     Huesca
2020-2021,21.11.2020,Levante       1,-,1     Elche
2020-2021,22.11.2020,Eibar       0,-,0     Getafe
2020-2021,23.11.2020,Ath. Bilbao       4,-,0     Real Betis
2020-2021,27.11.2020,R. Valladolid       1,-,1     Levante
2020-2021,28.11.2020,Elche       1,-,1     Cadiz
2020-2021,29.11.2020,Barcelona       4,-,0     Osasuna
2020-2021,30.11.2020,Real Betis       0,-,2     Eibar
2020-2021,04.12.2020,Ath. Bilbao       0,-,2     Celta Vigo
2020-2021,05.12.2020,Levante       3,-,0     Getafe
2020-2021,06.12.2020,Granada       3,-,3     Huesca
2020-2021,07.12.2020,Eibar       0,-,0     Valencia
2020-2021,11.12.2020,R. Valladolid       3,-,2     Osasuna
2020-2021,12.12.2020,Valencia       2,-,2     Ath. Bilbao
2020-2021,13.12.2020,R. Sociedad       1,-,1     Eibar
2020-2021,14.12.2020,Celta Vigo       4,-,0     Cadiz
2020-2021,15.12.2020,Real Madrid       3,-,1     Ath. Bilbao
2020-2021,16.12.2020,Barcelona       2,-,1     R. Sociedad
2020-2021,18.12.2020,Ath. Bilbao       2,-,0     Huesca
2020-2021,19.12.2020,Atl. Madrid       3,-,1     Elche
2020-2021,20.12.2020,Celta Vigo       2,-,0     Alaves
2020-2021,22.12.2020,Valencia       0,-,1     Sevilla
2020-2021,23.12.2020,Getafe       1,-,1     Celta Vigo
2020-2021,29.12.2020,Sevilla       2,-,0     Villarreal
2020-2021,30.12.2020,Granada       2,-,1     Valencia
2020-2021,31.12.2020,Ath. Bilbao       0,-,1     R. Sociedad
2020-2021,02.01.2021,Villarreal       2,-,1     Levante
2020-2021,03.01.2021,Ath. Bilbao       1,-,0     Elche
2020-2021,04.01.2021,Valencia       1,-,1     Cadiz
2020-2021,06.01.2021,Ath. Bilbao       2,-,3     Barcelona
2020-2021,08.01.2021,Celta Vigo       0,-,4     Villarreal
2020-2021,09.01.2021,Sevilla       3,-,2     R. Sociedad
2020-2021,10.01.2021,Levante       2,-,1     Eibar
2020-2021,11.01.2021,Elche       1,-,3     Getafe
2020-2021,12.01.2021,Atl. Madrid       2,-,0     Sevilla
2020-2021,19.01.2021,Cadiz       2,-,2     Levante
2020-2021,20.01.2021,Getafe       1,-,0     Huesca
2020-2021,21.01.2021,Valencia       1,-,1     Osasuna
2020-2021,22.01.2021,Levante       2,-,2     R. Valladolid
2020-2021,23.01.2021,Huesca       0,-,0     Villarreal
2020-2021,24.01.2021,Osasuna       3,-,1     Granada
2020-2021,25.01.2021,Ath. Bilbao       5,-,1     Getafe
2020-2021,29.01.2021,R. Valladolid       1,-,3     Huesca
2020-2021,30.01.2021,Eibar       0,-,2     Sevilla
2020-2021,31.01.2021,Getafe       0,-,0     Alaves
2020-2021,01.02.2021,Real Betis       1,-,0     Osasuna
2020-2021,05.02.2021,Alaves       1,-,0     R. Valladolid
2020-2021,06.02.2021,Levante       2,-,2     Granada
2020-2021,07.02.2021,R. Sociedad       4,-,1     Cadiz
2020-2021,08.02.2021,Atl. Madrid       2,-,2     Celta Vigo
2020-2021,09.02.2021,Real Madrid       2,-,0     Getafe
2020-2021,12.02.2021,Celta Vigo       3,-,1     Elche
2020-2021,13.02.2021,Granada       1,-,2     Atl. Madrid
2020-2021,14.02.2021,Getafe       0,-,1     R. Sociedad
2020-2021,15.02.2021,Cadiz       0,-,4     Ath. Bilbao
2020-2021,17.02.2021,Levante       1,-,1     Atl. Madrid
2020-2021,19.02.2021,Real Betis       1,-,0     Getafe
2020-2021,20.02.2021,Elche       1,-,0     Eibar
2020-2021,21.02.2021,Barcelona       1,-,1     Cadiz
2020-2021,22.02.2021,Osasuna       0,-,2     Sevilla
2020-2021,24.02.2021,Barcelona       3,-,0     Elche
2020-2021,26.02.2021,Levante       1,-,1     Ath. Bilbao
2020-2021,27.02.2021,Eibar       1,-,1     Huesca
2020-2021,28.02.2021,Celta Vigo       1,-,1     R. Valladolid
2020-2021,01.03.2021,Real Madrid       1,-,1     R. Sociedad
2020-2021,05.03.2021,Valencia       2,-,1     Villarreal
2020-2021,06.03.2021,R. Valladolid       2,-,1     Getafe
2020-2021,07.03.2021,Huesca       3,-,4     Celta Vigo
2020-2021,08.03.2021,Real Betis       3,-,2     Alaves
2020-2021,10.03.2021,Atl. Madrid       2,-,1     Ath. Bilbao
2020-2021,12.03.2021,Levante       1,-,0     Valencia
2020-2021,13.03.2021,Alaves       1,-,1     Cadiz
2020-2021,14.03.2021,Celta Vigo       0,-,0     Ath. Bilbao
2020-2021,15.03.2021,Barcelona       4,-,1     Huesca
2020-2021,17.03.2021,Sevilla       2,-,0     Elche
2020-2021,19.03.2021,Real Betis       2,-,0     Levante
2020-2021,20.03.2021,Ath. Bilbao       1,-,1     Eibar
2020-2021,21.03.2021,Getafe       1,-,1     Elche
2020-2021,02.04.2021,Levante       0,-,2     Huesca
2020-2021,03.04.2021,Granada       0,-,3     Villarreal
2020-2021,04.04.2021,Alaves       1,-,3     Celta Vigo
2020-2021,05.04.2021,Barcelona       1,-,0     R. Valladolid
2020-2021,07.04.2021,R. Sociedad       1,-,1     Ath. Bilbao
2020-2021,09.04.2021,Huesca       3,-,1     Elche
2020-2021,10.04.2021,Getafe       0,-,1     Cadiz
2020-2021,11.04.2021,Villarreal       1,-,2     Osasuna
2020-2021,12.04.2021,Celta Vigo       3,-,4     Sevilla
2020-2021,18.04.2021,Osasuna       2,-,0     Elche
2020-2021,21.04.2021,Levante       0,-,1     Sevilla
2020-2021,22.04.2021,Atl. Madrid       2,-,0     Huesca
2020-2021,24.04.2021,Elche       1,-,0     Levante
2020-2021,25.04.2021,Huesca       0,-,2     Getafe
2020-2021,26.04.2021,Eibar       0,-,1     R. Sociedad
2020-2021,28.04.2021,Ath. Bilbao       2,-,2     R. Valladolid
2020-2021,29.04.2021,Barcelona       1,-,2     Granada
2020-2021,30.04.2021,Celta Vigo       2,-,0     Levante
2020-2021,01.05.2021,Eibar       3,-,0     Alaves
2020-2021,02.05.2021,R. Valladolid       1,-,1     Real Betis
2020-2021,03.05.2021,Sevilla       0,-,1     Ath. Bilbao
2020-2021,07.05.2021,R. Sociedad       2,-,0     Elche
2020-2021,08.05.2021,Alaves       2,-,2     Levante
2020-2021,09.05.2021,Getafe       0,-,1     Eibar
2020-2021,10.05.2021,Real Betis       2,-,1     Granada
2020-2021,11.05.2021,Osasuna       3,-,2     Cadiz
2020-2021,12.05.2021,Sevilla       1,-,0     Valencia
2020-2021,13.05.2021,R. Valladolid       0,-,2     Villarreal
2020-2021,16.05.2021,Alaves       4,-,2     Granada
2020-2021,21.05.2021,Levante       2,-,2     Cadiz
2020-2021,22.05.2021,Celta Vigo       2,-,3     Real Betis
2020-2021,23.05.2021,Granada       0,-,0     Getafe
2021-2022,13.08.2021,Valencia       1,-,0     Getafe
2021-2022,14.08.2021,Mallorca       1,-,1     Real Betis
2021-2022,15.08.2021,Celta Vigo       1,-,2     Atl. Madrid
2021-2022,16.08.2021,Villarreal       0,-,0     Granada
2021-2022,20.08.2021,Real Betis       1,-,1     Cadiz
2021-2022,21.08.2021,Alaves       0,-,1     Mallorca
2021-2022,22.08.2021,R. Sociedad       1,-,0     Rayo Vallecano
2021-2022,23.08.2021,Getafe       0,-,1     Sevilla
2021-2022,27.08.2021,Mallorca       1,-,0     Espanyol
2021-2022,28.08.2021,Celta Vigo       0,-,1     Ath. Bilbao
2021-2022,29.08.2021,Barcelona       2,-,1     Getafe
2021-2022,11.09.2021,Levante       1,-,1     Rayo Vallecano
2021-2022,12.09.2021,Espanyol       1,-,2     Atl. Madrid
2021-2022,13.09.2021,Getafe       0,-,1     Elche
2021-2022,17.09.2021,Celta Vigo       1,-,2     Cadiz
2021-2022,18.09.2021,Rayo Vallecano       3,-,0     Getafe
2021-2022,19.09.2021,Mallorca       0,-,0     Villarreal
2021-2022,20.09.2021,Barcelona       1,-,1     Granada
2021-2022,21.09.2021,Getafe       1,-,2     Atl. Madrid
2021-2022,22.09.2021,Espanyol       1,-,0     Alaves
2021-2022,23.09.2021,Granada       2,-,3     R. Sociedad
2021-2022,25.09.2021,Alaves       1,-,0     Atl. Madrid
2021-2022,26.09.2021,Mallorca       2,-,3     Osasuna
2021-2022,27.09.2021,Celta Vigo       1,-,0     Granada
2021-2022,01.10.2021,Ath. Bilbao       1,-,0     Alaves
2021-2022,02.10.2021,Osasuna       1,-,0     Rayo Vallecano
2021-2022,03.10.2021,Elche       1,-,0     Celta Vigo
2021-2022,16.10.2021,Levante       0,-,0     Getafe
2021-2022,17.10.2021,Rayo Vallecano       2,-,1     Elche
2021-2022,18.10.2021,Alaves       0,-,1     Real Betis
2021-2022,22.10.2021,Osasuna       1,-,1     Granada
2021-2022,23.10.2021,Valencia       2,-,2     Mallorca
2021-2022,24.10.2021,Sevilla       5,-,3     Levante
2021-2022,25.10.2021,Getafe       0,-,3     Celta Vigo
2021-2022,26.10.2021,Alaves       1,-,0     Elche
2021-2022,27.10.2021,Mallorca       1,-,1     Sevilla
2021-2022,28.10.2021,Celta Vigo       0,-,2     R. Sociedad
2021-2022,30.10.2021,Elche       1,-,2     Real Madrid
2021-2022,31.10.2021,Cadiz       1,-,1     Mallorca
2021-2022,01.11.2021,Rayo Vallecano       0,-,0     Celta Vigo
2021-2022,05.11.2021,Ath. Bilbao       0,-,1     Cadiz
2021-2022,06.11.2021,Espanyol       2,-,0     Granada
2021-2022,07.11.2021,Villarreal       1,-,0     Getafe
2021-2022,19.11.2021,Levante       0,-,0     Ath. Bilbao
2021-2022,20.11.2021,Celta Vigo       1,-,1     Villarreal
2021-2022,21.11.2021,Getafe       4,-,0     Cadiz
2021-2022,22.11.2021,Rayo Vallecano       3,-,1     Mallorca
2021-2022,26.11.2021,Ath. Bilbao       2,-,2     Granada
2021-2022,27.11.2021,Alaves       1,-,2     Celta Vigo
2021-2022,28.11.2021,Real Betis       3,-,1     Levante
2021-2022,29.11.2021,Osasuna       1,-,1     Elche
2021-2022,01.12.2021,Real Madrid       1,-,0     Ath. Bilbao
2021-2022,03.12.2021,Granada       2,-,1     Alaves
2021-2022,04.12.2021,Sevilla       1,-,0     Villarreal
2021-2022,05.12.2021,Rayo Vallecano       1,-,0     Espanyol
2021-2022,06.12.2021,Getafe       0,-,0     Ath. Bilbao
2021-2022,10.12.2021,Mallorca       0,-,0     Celta Vigo
2021-2022,11.12.2021,Espanyol       4,-,3     Levante
2021-2022,12.12.2021,Villarreal       2,-,0     Rayo Vallecano
2021-2022,13.12.2021,Cadiz       1,-,1     Granada
2021-2022,17.12.2021,Celta Vigo       3,-,1     Espanyol
2021-2022,18.12.2021,Rayo Vallecano       2,-,0     Alaves
2021-2022,19.12.2021,Granada       4,-,1     Mallorca
2021-2022,20.12.2021,Levante       3,-,4     Valencia
2021-2022,21.12.2021,Villarreal       5,-,2     Alaves
2021-2022,22.12.2021,Granada       2,-,1     Atl. Madrid
2021-2022,31.12.2021,Valencia       1,-,2     Espanyol
2021-2022,02.01.2022,Getafe       1,-,0     Real Madrid
2021-2022,03.01.2022,Villarreal       5,-,0     Levante
2021-2022,08.01.2022,Levante       2,-,0     Mallorca
2021-2022,09.01.2022,Rayo Vallecano       1,-,1     Real Betis
2021-2022,10.01.2022,Espanyol       1,-,2     Elche
2021-2022,16.01.2022,Elche       1,-,0     Villarreal
2021-2022,18.01.2022,Real Betis       4,-,0     Alaves
2021-2022,19.01.2022,Celta Vigo       2,-,0     Osasuna
2021-2022,20.01.2022,Getafe       4,-,2     Granada
2021-2022,21.01.2022,Espanyol       1,-,4     Real Betis
2021-2022,22.01.2022,Levante       0,-,2     Cadiz
2021-2022,23.01.2022,Granada       0,-,2     Osasuna
2021-2022,04.02.2022,Getafe       3,-,0     Levante
2021-2022,05.02.2022,Elche       3,-,1     Alaves
2021-2022,06.02.2022,Valencia       0,-,0     R. Sociedad
2021-2022,07.02.2022,Ath. Bilbao       2,-,1     Espanyol
2021-2022,11.02.2022,Sevilla       2,-,0     Elche
2021-2022,12.02.2022,Cadiz       0,-,0     Celta Vigo
2021-2022,13.02.2022,Alaves       2,-,1     Valencia
2021-2022,14.02.2022,Mallorca       3,-,2     Ath. Bilbao
2021-2022,16.02.2022,Atl. Madrid       0,-,1     Levante
2021-2022,18.02.2022,Elche       2,-,1     Rayo Vallecano
2021-2022,19.02.2022,Granada       1,-,4     Villarreal
2021-2022,20.02.2022,Espanyol       1,-,1     Sevilla
2021-2022,21.02.2022,Celta Vigo       1,-,1     Levante
2021-2022,25.02.2022,Levante       3,-,0     Elche
2021-2022,26.02.2022,Mallorca       0,-,1     Valencia
2021-2022,27.02.2022,Villarreal       5,-,1     Espanyol
2021-2022,28.02.2022,Granada       0,-,0     Cadiz
2021-2022,02.03.2022,Mallorca       0,-,2     R. Sociedad
2021-2022,04.03.2022,Alaves       0,-,0     Sevilla
2021-2022,05.03.2022,Osasuna       1,-,0     Villarreal
2021-2022,06.03.2022,Cadiz       2,-,0     Rayo Vallecano
2021-2022,07.03.2022,Ath. Bilbao       3,-,1     Levante
2021-2022,11.03.2022,Atl. Madrid       2,-,1     Cadiz
2021-2022,12.03.2022,Levante       1,-,1     Espanyol
2021-2022,13.03.2022,Rayo Vallecano       1,-,1     Sevilla
2021-2022,14.03.2022,Mallorca       0,-,3     Real Madrid
2021-2022,18.03.2022,Ath. Bilbao       1,-,1     Getafe
2021-2022,19.03.2022,Alaves       2,-,3     Granada
2021-2022,20.03.2022,Espanyol       1,-,0     Mallorca
2021-2022,02.04.2022,Getafe       1,-,0     Mallorca
2021-2022,03.04.2022,Ath. Bilbao       2,-,1     Elche
2021-2022,04.04.2022,R. Sociedad       1,-,0     Espanyol
2021-2022,08.04.2022,Sevilla       4,-,2     Granada
2021-2022,09.04.2022,Cadiz       1,-,2     Real Betis
2021-2022,10.04.2022,Osasuna       1,-,0     Alaves
2021-2022,11.04.2022,Rayo Vallecano       1,-,1     Valencia
2021-2022,15.04.2022,R. Sociedad       0,-,0     Real Betis
2021-2022,16.04.2022,Elche       3,-,0     Mallorca
2021-2022,17.04.2022,Granada       1,-,4     Levante
2021-2022,18.04.2022,Barcelona       0,-,1     Cadiz
2021-2022,19.04.2022,Mallorca       2,-,1     Alaves
2021-2022,20.04.2022,Atl. Madrid       0,-,0     Granada
2021-2022,21.04.2022,Espanyol       0,-,1     Rayo Vallecano
2021-2022,24.04.2022,Barcelona       0,-,1     Rayo Vallecano
2021-2022,29.04.2022,Sevilla       1,-,1     Cadiz
2021-2022,30.04.2022,Alaves       2,-,1     Villarreal
2021-2022,01.05.2022,Elche       1,-,1     Osasuna
2021-2022,02.05.2022,Getafe       0,-,0     Real Betis
2021-2022,06.05.2022,Levante       2,-,1     R. Sociedad
2021-2022,07.05.2022,Mallorca       2,-,6     Granada
2021-2022,08.05.2022,Getafe       0,-,0     Rayo Vallecano
2021-2022,10.05.2022,Valencia       0,-,3     Real Betis
2021-2022,11.05.2022,Alaves       2,-,1     Espanyol
2021-2022,12.05.2022,R. Sociedad       3,-,0     Cadiz
2021-2022,14.05.2022,Espanyol       1,-,1     Valencia
2021-2022,15.05.2022,Ath. Bilbao       2,-,0     Osasuna
2021-2022,20.05.2022,Real Madrid       0,-,0     Real Betis
2021-2022,21.05.2022,Valencia       2,-,0     Celta Vigo
2021-2022,22.05.2022,Elche       3,-,1     Getafe
2022-2023,12.08.2022,Osasuna       2,-,1     Sevilla
2022-2023,13.08.2022,Celta Vigo       2,-,2     Espanyol
2022-2023,14.08.2022,Cadiz       0,-,1     R. Sociedad
2022-2023,15.08.2022,Ath. Bilbao       0,-,0     Mallorca
2022-2023,19.08.2022,Espanyol       0,-,2     Rayo Vallecano
2022-2023,20.08.2022,Osasuna       2,-,0     Cadiz
2022-2023,21.08.2022,Ath. Bilbao       1,-,0     Valencia
2022-2023,22.08.2022,Elche       1,-,1     Almeria
2022-2023,26.08.2022,Girona       0,-,1     Celta Vigo
2022-2023,27.08.2022,Elche       0,-,1     R. Sociedad
2022-2023,28.08.2022,Getafe       0,-,0     Villarreal
2022-2023,29.08.2022,Cadiz       0,-,4     Ath. Bilbao
2022-2023,02.09.2022,Celta Vigo       3,-,0     Cadiz
2022-2023,03.09.2022,Mallorca       1,-,1     Girona
2022-2023,04.09.2022,Osasuna       2,-,1     Rayo Vallecano
2022-2023,05.09.2022,R. Valladolid       1,-,0     Almeria
2022-2023,09.09.2022,Girona       2,-,1     R. Valladolid
2022-2023,10.09.2022,Rayo Vallecano       2,-,1     Valencia
2022-2023,11.09.2022,Real Madrid       4,-,1     Mallorca
2022-2023,12.09.2022,Almeria       0,-,1     Osasuna
2022-2023,16.09.2022,R. Valladolid       0,-,1     Cadiz
2022-2023,17.09.2022,Mallorca       1,-,0     Almeria
2022-2023,18.09.2022,Osasuna       0,-,2     Getafe
2022-2023,30.09.2022,Ath. Bilbao       4,-,0     Almeria
2022-2023,01.10.2022,Cadiz       0,-,0     Villarreal
2022-2023,02.10.2022,Espanyol       2,-,2     Valencia
2022-2023,03.10.2022,Rayo Vallecano       2,-,1     Elche
2022-2023,07.10.2022,Osasuna       1,-,2     Valencia
2022-2023,08.10.2022,Almeria       3,-,1     Rayo Vallecano
2022-2023,09.10.2022,R. Valladolid       0,-,0     Real Betis
2022-2023,10.10.2022,Elche       1,-,1     Mallorca
2022-2023,14.10.2022,Rayo Vallecano       0,-,0     Getafe
2022-2023,15.10.2022,Girona       1,-,1     Cadiz
2022-2023,16.10.2022,Celta Vigo       1,-,2     R. Sociedad
2022-2023,17.10.2022,Villarreal       2,-,0     Osasuna
2022-2023,18.10.2022,Sevilla       1,-,1     Valencia
2022-2023,19.10.2022,Cadiz       0,-,0     Real Betis
2022-2023,20.10.2022,Almeria       3,-,2     Girona
2022-2023,22.10.2022,Rayo Vallecano       5,-,1     Cadiz
2022-2023,23.10.2022,Espanyol       2,-,2     Elche
2022-2023,24.10.2022,Celta Vigo       1,-,1     Getafe
2022-2023,28.10.2022,Mallorca       1,-,1     Espanyol
2022-2023,29.10.2022,Almeria       3,-,1     Celta Vigo
2022-2023,30.10.2022,Osasuna       2,-,0     R. Valladolid
2022-2023,31.10.2022,Elche       0,-,1     Getafe
2022-2023,04.11.2022,Girona       2,-,1     Ath. Bilbao
2022-2023,05.11.2022,Getafe       0,-,0     Cadiz
2022-2023,06.11.2022,Atl. Madrid       1,-,1     Espanyol
2022-2023,07.11.2022,Rayo Vallecano       3,-,2     Real Madrid
2022-2023,08.11.2022,Elche       1,-,2     Girona
2022-2023,09.11.2022,Almeria       1,-,0     Getafe
2022-2023,10.11.2022,Rayo Vallecano       0,-,0     Celta Vigo
2022-2023,29.12.2022,Girona       2,-,2     Rayo Vallecano
2022-2023,30.12.2022,Getafe       2,-,0     Mallorca
2022-2023,31.12.2022,Barcelona       1,-,1     Espanyol
2022-2023,06.01.2023,Elche       0,-,1     Celta Vigo
2022-2023,07.01.2023,Villarreal       2,-,1     Real Madrid
2022-2023,08.01.2023,Almeria       0,-,2     R. Sociedad
2022-2023,09.01.2023,Ath. Bilbao       0,-,0     Osasuna
2022-2023,13.01.2023,Celta Vigo       1,-,1     Villarreal
2022-2023,14.01.2023,R. Valladolid       0,-,1     Rayo Vallecano
2022-2023,15.01.2023,Getafe       1,-,2     Espanyol
2022-2023,16.01.2023,Cadiz       1,-,1     Elche
2022-2023,20.01.2023,Mallorca       1,-,0     Celta Vigo
2022-2023,21.01.2023,Rayo Vallecano       0,-,2     R. Sociedad
2022-2023,22.01.2023,Villarreal       1,-,0     Girona
2022-2023,23.01.2023,Valencia       2,-,2     Almeria
2022-2023,27.01.2023,Almeria       3,-,1     Espanyol
2022-2023,28.01.2023,Cadiz       2,-,0     Mallorca
2022-2023,29.01.2023,R. Valladolid       1,-,0     Valencia
2022-2023,30.01.2023,Villarreal       0,-,1     Rayo Vallecano
2022-2023,01.02.2023,Real Betis       1,-,2     Barcelona
2022-2023,02.02.2023,Real Madrid       2,-,0     Valencia
2022-2023,03.02.2023,Ath. Bilbao       4,-,1     Cadiz
2022-2023,04.02.2023,Espanyol       1,-,1     Osasuna
2022-2023,05.02.2023,Mallorca       1,-,0     Real Madrid
2022-2023,06.02.2023,Rayo Vallecano       2,-,0     Almeria
2022-2023,10.02.2023,Cadiz       2,-,0     Girona
2022-2023,11.02.2023,Almeria       2,-,3     Real Betis
2022-2023,12.02.2023,Getafe       1,-,1     Rayo Vallecano
2022-2023,13.02.2023,Espanyol       2,-,3     R. Sociedad
2022-2023,15.02.2023,Real Madrid       4,-,0     Elche
2022-2023,17.02.2023,Girona       6,-,2     Almeria
